Keyword,YAKE! score,Target community
white trash,0.0006005293405277914,Caucasian
bitch ass nigga,0.0006585799866725073,African
bitch,0.0007610007431707639,Women
faggot,0.0008124671934373434,LGBTQ
nigga,0.001050102990553063,African
ass nigga,0.0012640707671522148,African
fuck,0.0013014272675442836,None
ass,0.0013628556795083088,None
nigger,0.0015453747999929484,African
niggas,0.0019067659565305615,African
bitch ass,0.002030281683947654,None
fucking,0.0020500984493767574,None
faggots,0.0024898188185983106,LGBTQ
fucking faggot,0.002817878956560666,LGBTQ
fag,0.0028410401759164506,LGBTQ
faggot ass,0.002967776592664291,LGBTQ
niggers,0.0030907495999858967,African
ass niggas,0.0034761946096685905,African
pussy ass nigga,0.003546427447634322,African
hoe ass nigga,0.003717164515701443,African
fucking white trash,0.0038682339922794474,Caucasian
nigga bitch,0.003912786167930391,African
bitch nigga,0.003912786167930391,African
white bitch,0.004506905670281685,Caucasian
shit,0.004547624240901897,None
ass nigga fuck,0.004585193297393017,African
hoes,0.004599818655212465,Women
ass niggas bitch,0.004610059906707552,African
niggas bitch ass,0.004610059906707552,African
ass bitch nigga,0.004610059906707552,African
nigger bitch Fuck,0.0046437248870895564,African
nigga bitch fucking,0.004819518805853997,African
bitch faggot ass,0.004925161130258058,LGBTQ
Faggot ass bitch,0.0049251611302580595,LGBTQ
bitch Fuck ass,0.005029010290765253,None
ass bitch,0.005075704209869134,None
Bitch fuck,0.005112650853241642,None
faggot ass white,0.005188436365998616,LGBTQ;Caucasian
bitches,0.005239596948804584,Women
hoe,0.0059140525567017415,Women
white trash faggot,0.006048127159506315,LGBTQ;Caucasian
nigger ass nigger,0.006102332251708976,African
fucking faggot ass,0.006128357877734239,LGBTQ
fags,0.006350560393225008,LGBTQ
trash ass niggas,0.006395001797992995,African
coon ass nigga,0.0064164704571674095,African
fucking trash nigga,0.006688234398407704,African
shit nigga bitch,0.007025865932849906,African
pussy,0.00703951841957303,Women
fuck niggas bitches,0.007857449570020276,African
nigger ass,0.008348892882358518,African
ass people Fuck,0.00927780821956706,None
gay nigga bitch,0.009359992534692246,African;LGBTQ
ass niggas man,0.009441264249992152,African
stupid white bitch,0.010035205701921908,Caucasian
ass nigger shit,0.010120424921697888,African
white people fucking,0.010292695609738296,Caucasian
fucking white people,0.010292695609738297,Caucasian
ass Nigga stupid,0.010342930017683105,African
Nigga stupid ass,0.010342930017683105,African
stupid nigger bitch,0.010473093458853184,African
bitch fucking,0.010602900090133384,None
bitch made nigga,0.010874965856295788,African
ass white man,0.010937643756632138,Caucasian
queer faggot bitch,0.010985432805125345,LGBTQ
fucking white,0.011160220103407234,Caucasian
Gay ass nigga,0.011184952058166855,African;LGBTQ
nigga nigga spic,0.011368071187749398,African;Hispanic
spic nigga nigga,0.011368071187749398,African;Hispanic
bitch nigga Fat,0.011393441727370711,None
nigger ass lol,0.011420053025937333,African
pussy ass,0.011472805368897686,None
cunt bitch nigga,0.01159365046005013,African
lmao faggots faggot,0.011624018162762827,LGBTQ
fucking nigger,0.011628431314014092,African
gay,0.011638933223862363,LGBTQ
nigga fuck,0.011676473630207993,African
fuck niggas,0.011676473630207993,African
kill,0.01169279440152125,None
ass hoes,0.012158172666408416,None
hoe ass,0.012158172666408416,None
stupid nigger,0.012359038772924344,African
ugly white bitch,0.012401830770996084,Caucasian
